 ,Label,Area,Mean,XM,YM,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1224,Plate_10_p1.tif,22,255,26260.500,1449.273,34.042,0.239,5610,5610,5.437,0.184,0.494
1225,Plate_10_p1.tif,38,255,35974.500,1449.947,36.385,0.361,9690,9690,4.186,0.239,0.685
1226,Plate_10_p1.tif,15,255,43802.433,1448.633,17.314,0.629,3825,3825,2.104,0.475,0.750
1227,Plate_10_p1.tif,25,255,34234.780,1453.340,18.142,0.954,6375,6375,1.326,0.754,0.862
1228,Plate_10_p1.tif,11,255,7077.955,1454.318,11.899,0.976,2805,2805,1.450,0.689,0.846
1229,Plate_10_p1.tif,11,255,29754.136,1454.045,11.314,1.000,2805,2805,1.139,0.878,0.815
1230,Plate_10_p1.tif,46,255,10890.957,1459.065,36.870,0.425,11730,11730,3.343,0.299,0.667
1231,Plate_10_p1.tif,11,255,119.591,1456.864,11.071,1.000,2805,2805,1.372,0.729,0.957
1232,Plate_10_p1.tif,16,255,22684.625,1457.562,14.728,0.927,4080,4080,1.245,0.803,0.800
1233,Plate_10_p1.tif,23,255,37719.543,1458.543,17.314,0.964,5865,5865,1.200,0.833,0.885
1234,Plate_10_p1.tif,25,255,3073.820,1460.500,28.385,0.390,6375,6375,2.920,0.342,0.633
1235,Plate_10_p1.tif,50,255,15990.300,1462.620,30.042,0.696,12750,12750,1.173,0.852,0.787
1236,Plate_10_p1.tif,23,255,28735.935,1464.587,19.314,0.775,5865,5865,1.865,0.536,0.807
1237,Plate_10_p1.tif,15,255,26260.900,1466.300,26.042,0.278,3825,3825,5.410,0.185,0.469
1238,Plate_10_p1.tif,161,255,36019.189,1480.227,108.510,0.172,41055,41055,5.524,0.181,0.489
1239,Plate_10_p1.tif,197,255,3111.459,1473.952,136.711,0.132,50235,50235,10.519,0.095,0.503
1240,Plate_10_p1.tif,25,255,29151.060,1468.340,19.314,0.842,6375,6375,1.339,0.747,0.847
1241,Plate_10_p1.tif,40,255,36099.875,1471.050,25.556,0.770,10200,10200,1.794,0.557,0.851
1242,Plate_10_p1.tif,73,255,25848.692,1472.089,31.213,0.942,18615,18615,1.112,0.899,0.885
1243,Plate_10_p1.tif,12,255,24202.833,1470.583,12.485,0.967,3060,3060,1.218,0.821,0.889
1244,Plate_10_p1.tif,22,255,35146.182,1472.864,17.314,0.922,5610,5610,1.341,0.745,0.863
1245,Plate_10_p1.tif,99,255,36352.854,1476.025,40.870,0.745,25245,25245,1.092,0.916,0.808
1246,Plate_10_p1.tif,22,255,23552.364,1473.818,17.314,0.922,5610,5610,1.358,0.736,0.863
1247,Plate_10_p1.tif,85,255,34685.159,1477.829,35.456,0.850,21675,21675,1.146,0.873,0.872
1248,Plate_10_p1.tif,221,255,42810.925,1481.722,61.012,0.746,56355,56355,1.661,0.602,0.858
1249,Plate_10_p1.tif,579,255,16907.844,1487.984,90.569,0.887,147645,147645,1.089,0.918,0.938
1250,Plate_10_p1.tif,38,255,20063.421,1478.026,22.142,0.974,9690,9690,1.137,0.880,0.905
1251,Plate_10_p1.tif,15,255,26219.967,1478.367,28.870,0.226,3825,3825,5.507,0.182,0.455
1252,Plate_10_p1.tif,29,255,32754.845,1478.362,22.971,0.691,7395,7395,1.443,0.693,0.734
1253,Plate_10_p1.tif,16,255,38399.938,1479.125,16.728,0.719,4080,4080,2.152,0.465,0.744
1254,Plate_10_p1.tif,92,255,39615.424,1482.609,47.355,0.516,23460,23460,1.929,0.519,0.713
1255,Plate_10_p1.tif,30,255,31312.600,1480.933,22.385,0.752,7650,7650,2.255,0.443,0.800
1256,Plate_10_p1.tif,11,255,30439.136,1484.409,13.899,0.715,2805,2805,1.349,0.741,0.733
1257,Plate_10_p1.tif,27,255,17375.870,1484.352,38.142,0.233,6885,6885,8.365,0.120,0.614
1258,Plate_10_p1.tif,27,255,26203.093,1489.056,36.042,0.261,6885,6885,6.525,0.153,0.540
1259,Plate_10_p1.tif,11,255,26219.045,1486.227,12.485,0.887,2805,2805,1.915,0.522,0.880
1260,Plate_10_p1.tif,25,255,9580.540,1488.420,17.899,0.981,6375,6375,1.122,0.891,0.926
1261,Plate_10_p1.tif,48,255,16811.021,1491.042,30.627,0.643,12240,12240,1.234,0.811,0.780
1262,Plate_10_p1.tif,35,255,30669.729,1490.500,22.385,0.878,8925,8925,1.249,0.801,0.814
1263,Plate_10_p1.tif,22,255,884.591,1491.091,17.556,0.897,5610,5610,1.280,0.781,0.830
1264,Plate_10_p1.tif,13,255,15909.808,1490.423,13.071,0.956,3315,3315,1.526,0.655,0.929
1265,Plate_10_p1.tif,16,255,19596.000,1493.438,17.899,0.628,4080,4080,1.908,0.524,0.744
1266,Plate_10_p1.tif,53,255,43253.123,1497.104,62.669,0.170,13515,13515,2.048,0.488,0.465
1267,Plate_10_p1.tif,52,255,1699.673,1494.269,27.213,0.882,13260,13260,1.178,0.849,0.846
1268,Plate_10_p1.tif,11,255,10277.409,1491.864,11.071,1.000,2805,2805,1.372,0.729,0.957
1269,Plate_10_p1.tif,57,255,17877.167,1493.974,26.385,1.000,14535,14535,1.218,0.821,0.919
1270,Plate_10_p1.tif,62,255,10208.210,1495.726,29.213,0.913,15810,15810,1.088,0.919,0.844
1271,Plate_10_p1.tif,11,255,24451.409,1492.864,11.071,1.000,2805,2805,1.372,0.729,0.957
1272,Plate_10_p1.tif,23,255,27083.804,1493.630,19.314,0.775,5865,5865,1.441,0.694,0.821
1273,Plate_10_p1.tif,346,255,36061.023,1518.775,198.936,0.110,88230,88230,3.655,0.274,0.325
1274,Plate_10_p1.tif,35,255,9684.986,1498.443,24.142,0.755,8925,8925,2.228,0.449,0.843
1275,Plate_10_p1.tif,38,255,25335.237,1496.737,25.799,0.717,9690,9690,1.573,0.636,0.817
1276,Plate_10_p1.tif,38,255,5039.158,1498.947,22.385,0.953,9690,9690,1.111,0.900,0.874
1277,Plate_10_p1.tif,21,255,39469.786,1501.690,19.314,0.707,5355,5355,1.967,0.508,0.808
1278,Plate_10_p1.tif,11,255,2308.045,1501.500,13.071,0.809,2805,2805,1.597,0.626,0.846
1279,Plate_10_p1.tif,19,255,35060.868,1504.763,15.314,1.000,4845,4845,1.111,0.900,0.884
1280,Plate_10_p1.tif,28,255,14213.464,1506.214,19.314,0.943,7140,7140,1.266,0.790,0.889
1281,Plate_10_p1.tif,20,255,26208.950,1506.650,27.213,0.339,5100,5100,5.186,0.193,0.625
1282,Plate_10_p1.tif,56,255,21995.071,1507.821,27.556,0.927,14280,14280,1.065,0.939,0.911
1283,Plate_10_p1.tif,35,255,1901.929,1508.271,20.728,1.000,8925,8925,1.129,0.885,0.921
1284,Plate_10_p1.tif,18,255,36025.500,1507.167,14.485,1.000,4590,4590,1.248,0.801,0.947
1285,Plate_10_p1.tif,38,255,33020.553,1511.789,23.314,0.879,9690,9690,1.397,0.716,0.894
1286,Plate_10_p1.tif,10,255,14311.600,1512.600,11.899,0.887,2550,2550,1.577,0.634,0.800
1287,Plate_10_p1.tif,66,255,36254.212,1519.545,35.556,0.656,16830,16830,1.551,0.645,0.810
1288,Plate_10_p1.tif,11,255,29152.136,1514.591,11.071,1.000,2805,2805,1.372,0.729,0.957
1289,Plate_10_p1.tif,16,255,31017.500,1514.625,14.485,0.958,4080,4080,1.441,0.694,0.889
1290,Plate_10_p1.tif,11,255,26147.500,1520.227,20.385,0.333,2805,2805,5.646,0.177,0.550
1291,Plate_10_p1.tif,18,255,3095.278,1521.000,14.485,1.000,4590,4590,1.218,0.821,0.947
1292,Plate_10_p1.tif,10,255,32085.600,1521.600,11.899,0.887,2550,2550,1.577,0.634,0.800
1293,Plate_10_p1.tif,457,255,2351.581,1533.933,82.326,0.847,116535,116535,1.249,0.800,0.928
1294,Plate_10_p1.tif,23,255,38505.891,1524.283,18.728,0.824,5865,5865,1.688,0.592,0.807
1295,Plate_10_p1.tif,15,255,9770.633,1527.300,16.485,0.694,3825,3825,2.254,0.444,0.833
1296,Plate_10_p1.tif,11,255,3529.591,1526.773,13.314,0.780,2805,2805,2.159,0.463,0.759
1297,Plate_10_p1.tif,44,255,8778.227,1530.773,30.385,0.599,11220,11220,2.546,0.393,0.721
1298,Plate_10_p1.tif,40,255,26149.800,1531.500,52.770,0.181,10200,10200,8.438,0.119,0.485
1299,Plate_10_p1.tif,31,255,38510.823,1530.694,25.213,0.613,7905,7905,2.471,0.405,0.729
