 ,Area,Mean,Perim.,Circ.,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
11469,103.187,255,42.875,0.705,16.911,26312.705,8925,2526,26499,156.038,11.660,1.400,0.714,0.737
11470,185.737,255,60.879,0.630,20.889,47362.869,16065,18023,26501,170.538,15.453,1.102,0.908,0.768
11471,356.732,255,74.443,0.809,25.983,90966.779,30855,27450,26506,172.405,21.501,1.158,0.864,0.834
11472,112.032,255,52.761,0.506,22.908,28568.079,9690,29028,26499,102.995,7.774,3.409,0.293,0.768
11473,97.291,255,37.013,0.892,14.670,24809.122,8415,37651,26504,20.556,10.302,1.476,0.678,0.835
11474,194.581,255,59.040,0.701,21.239,49618.243,16830,15114,26504,165.964,14.660,1.340,0.746,0.830
11475,44.223,255,30.734,0.588,13.843,11276.873,3825,28769,26501,119.745,5.646,3.016,0.332,0.732
11476,47.171,255,25.288,0.927,10.012,12028.665,4080,3234,26519,59.036,8.447,1.180,0.847,0.800
11477,44.223,255,29.728,0.629,12.141,11276.873,3825,15246,26514,171.870,6.868,1.608,0.622,0.750
11478,50.119,255,25.288,0.985,11.518,12780.457,4335,6957,26520,26.565,6.868,1.484,0.674,0.850
11479,188.685,255,55.606,0.767,19.577,48114.660,16320,21535,26523,142.125,15.453,1.143,0.875,0.859
11480,227.012,255,65.319,0.669,22.387,57887.950,19635,28664,26532,32.471,17.375,1.177,0.850,0.774
11481,188.685,255,50.749,0.921,20.024,48114.660,16320,10845,26535,59.036,13.736,1.440,0.694,0.921
11482,70.757,255,29.728,1.000,11.518,18042.998,6120,11052,26529,26.565,8.585,1.144,0.874,0.889
11483,371.473,255,80.477,0.721,27.740,94725.737,32130,12448,26527,111.801,22.321,1.036,0.965,0.824
11484,114.980,255,49.154,0.598,19.577,29319.871,9945,35965,26534,164.745,9.884,2.300,0.435,0.736
11485,70.757,255,41.453,0.517,16.911,18042.998,6120,4326,26535,113.962,8.329,2.676,0.374,0.667
11486,64.860,255,30.145,0.897,11.518,16539.414,5610,28963,26544,26.565,9.048,1.393,0.718,0.800
11487,73.705,255,32.156,0.896,12.382,18794.789,6375,4177,26540,123.690,9.995,1.103,0.907,0.833
11488,132.669,255,52.588,0.603,21.514,33830.620,11475,22532,26541,118.610,12.286,1.825,0.548,0.732
11489,221.115,255,54.600,0.932,20.676,56384.367,19125,31519,26551,41.634,16.998,1.172,0.853,0.898
11490,147.410,255,50.749,0.719,18.573,37589.578,12750,10841,26543,123.690,13.470,1.252,0.799,0.826
11491,53.068,255,28.722,0.808,12.382,13532.248,4590,29135,26544,123.690,7.285,1.953,0.512,0.783
11492,586.692,255,93.035,0.852,31.567,149606.521,50745,9180,26564,67.620,27.925,1.087,0.920,0.894
11493,44.223,255,22.860,1.000,10.012,11276.873,3825,21692,26548,149.036,6.868,1.392,0.718,0.882
11494,64.860,255,32.573,0.768,13.843,16539.414,5610,23627,26554,29.745,8.499,1.550,0.645,0.815
11495,79.601,255,32.573,0.943,13.077,20298.372,6885,6286,26556,23.199,9.713,1.191,0.840,0.831
11496,135.617,255,51.755,0.636,21.854,34582.412,11730,18724,26552,135.000,11.160,2.019,0.495,0.786
11497,47.171,255,25.288,0.927,10.012,12028.665,4080,34600,26557,59.036,8.447,1.245,0.803,0.800
11498,58.964,255,33.162,0.674,12.141,15035.831,5100,862,26553,135.000,8.585,1.407,0.711,0.784
11499,427.489,255,82.906,0.782,28.577,109009.777,36975,16129,26558,147.265,23.348,1.207,0.828,0.868
11500,265.338,255,70.592,0.669,23.100,67661.241,22950,1686,26568,48.013,18.887,1.159,0.863,0.800
