============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Xe(34.7 GeV) ==> Ilford G_5+Glass Soda_Li( 8.24 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   79 54 .1184625E+11   8240000E+01 -.4380E+05  .2048E+06   .9999918 -.0034800  .0020865
T   80 54 .1187048E+11   8240000E+01  .2121E+06  .2325E+06   .9999653  .0002752  .0083231
T   81 54 .1171189E+11   8240000E+01 -.9846E+05  .5596E+05   .9999949 -.0031516 -.0005934
T   82 54 .1180453E+11   8240000E+01  .6513E+05 -.5313E+05   .9999793  .0007651 -.0063926
T   83 54 .1181672E+11   8240000E+01  .1124E+06 -.8106E+05   .9999847  .0050980 -.0021299
T   84 54 .1172904E+11   8240000E+01  .1942E+06  .2373E+06   .9999329  .0074903  .0088388
T   85 54 .1178367E+11   8240000E+01 -.2366E+06  .7211E+05   .9999838 -.0056933  .0000909
T   86 54 .1177843E+11   8240000E+01 -.3657E+05 -.1693E+06   .9999973  .0009452 -.0021409
T   87 54 .1173051E+11   8240000E+01 -.4596E+06  .3574E+06   .9999101 -.0079632  .0107906
T   88 54 .1172632E+11   8240000E+01  .1414E+06 -.2228E+06   .9999937  .0035488  .0002341
T   89 54 .1179135E+11   8240000E+01  .2324E+06  .1962E+06   .9999906 -.0001023  .0043294
T   90 54 .1182406E+11   8240000E+01  .1063E+06 -.3453E+05   .9999987  .0011602 -.0011072
T   91 54 .1164143E+11   8240000E+01  .1796E+06 -.5214E+05   .9999514  .0097720  .0012766
T   92 54 .1179503E+11   8240000E+01 -.1936E+06  .8294E+05   .9999744 -.0067255  .0024391
T   93 54 .1174590E+11   8240000E+01 -.1875E+06  .3405E+05   .9999912 -.0032363 -.0026675
T   94 54 .1188326E+11   8240000E+01  .8278E+05 -.7271E+05   .9999984  .0010889 -.0014438
T   95 54 .1179253E+11   8240000E+01 -.1509E+06  .2484E+05   .9999754 -.0063933 -.0028945
T   96 54 .1177622E+11   8240000E+01  .5667E+05 -.4232E+05   .9999976 -.0003984  .0021720
T   97 54 .1173219E+11   8240000E+01 -.8477E+04 -.1288E+06   .9999690 -.0062907 -.0047284
T   98 54 .1175779E+11   8240000E+01 -.1627E+06  .1390E+06   .9999520 -.0072702  .0065643
T   99 54 .1179168E+11   8240000E+01 -.1146E+06  .2949E+06   .9999752 -.0045974  .0053321
T  100 54 .1186659E+11   8240000E+01 -.1680E+06  .1606E+06   .9999809 -.0057187  .0023643
T  101 54 .1186414E+11   8240000E+01  .1593E+06 -.1182E+06   .9999950  .0027519  .0015691
T  102 54 .1177068E+11   8240000E+01 -.1428E+06  .6627E+04   .9999930 -.0036790 -.0006422
T  103 54 .1176586E+11   8240000E+01  .1686E+05 -.2131E+06   .9999986 -.0007148 -.0014825
