 ,Area,Mean,Perim.,Circ.,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
2563,41.275,255,22.860,0.993,9.247,10525.082,3570,24158,4998,21.801,6.868,1.264,0.791,0.848
2564,88.446,255,104.444,0.102,51.540,22553.747,7650,18009,4997,91.909,1.717,30.000,0.033,1.000
2565,224.063,255,68.164,0.606,28.161,57136.159,19380,11161,4998,142.431,13.334,2.304,0.434,0.776
2566,41.275,255,21.438,1.000,8.585,10525.082,3570,9341,5000,126.870,6.868,1.020,0.981,0.933
2567,82.550,255,31.740,1.000,12.382,21050.164,7140,7148,5002,146.310,8.585,1.186,0.843,0.966
2568,64.860,255,49.154,0.337,16.289,16539.414,5610,42961,5008,18.435,11.573,1.495,0.669,0.512
2569,179.840,255,60.879,0.610,20.959,45859.285,15555,11181,5009,145.008,16.832,1.032,0.969,0.726
2570,41.275,255,31.567,0.521,14.770,10525.082,3570,6535,5012,35.538,6.071,2.946,0.339,0.683
2571,70.757,255,53.594,0.310,23.854,18042.998,6120,7403,5025,59.744,7.971,3.804,0.263,0.533
2572,179.840,255,50.160,0.898,19.197,45859.285,15555,14743,5021,26.565,14.570,1.295,0.772,0.871
2573,103.187,255,42.875,0.705,17.926,26312.705,8925,4002,5019,163.301,10.302,1.709,0.585,0.795
2574,73.705,255,31.151,0.954,12.382,18794.789,6375,28431,5023,33.690,9.713,1.384,0.722,0.847
2575,291.872,255,70.592,0.736,25.813,74427.365,25245,4579,5019,93.814,19.525,1.185,0.844,0.811
2576,44.223,255,26.294,0.804,11.518,11276.873,3825,12290,5021,153.435,6.868,1.704,0.587,0.811
2577,206.374,255,131.054,0.151,51.511,52625.409,17850,7396,5045,53.130,18.065,3.558,0.281,0.376
2578,61.912,255,39.441,0.500,16.998,15787.623,5355,19287,5021,135.000,8.447,2.689,0.372,0.656
2579,44.223,255,23.866,0.976,10.012,11276.873,3825,43545,5021,120.964,6.868,1.425,0.702,0.857
2580,141.514,255,43.464,0.941,16.198,36085.995,12240,16495,5033,57.995,12.019,1.093,0.915,0.932
2581,386.214,255,77.460,0.809,26.266,98484.695,33405,28652,5041,78.690,20.604,1.155,0.866,0.885
2582,339.043,255,81.900,0.635,28.422,86456.030,29325,32060,5028,115.017,19.965,1.374,0.728,0.810
2583,170.996,255,63.896,0.526,21.854,43603.911,14790,1795,5033,135.000,14.859,1.327,0.753,0.806
2584,82.550,255,50.160,0.412,23.354,21050.164,7140,31150,5044,53.973,8.245,3.898,0.257,0.615
2585,70.757,255,31.151,0.916,12.382,18042.998,6120,25421,5041,33.690,9.524,1.447,0.691,0.842
