 ,Label,Area,Mean,XM,YM,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
442,10_Plate_001.tif,34.599,255.000,20503.803,349.207,27.921,0.558,8822.664,26010,1.122,0.891,0.756
443,10_Plate_001.tif,15.603,255.000,10669.975,353.055,33.322,0.177,3978.849,11730,4.540,0.220,0.407
444,10_Plate_001.tif,21.370,255.000,4463.659,349.951,18.179,0.813,5449.293,16065,1.315,0.760,0.875
445,10_Plate_001.tif,11.194,255.000,9268.747,350.444,22.297,0.283,2854.391,8415,2.291,0.437,0.574
446,10_Plate_001.tif,16.282,255.000,170.549,351.691,20.167,0.503,4151.842,12240,2.007,0.498,0.821
447,10_Plate_001.tif,13.229,255.000,8895.248,352.202,14.743,0.765,3373.372,9945,2.093,0.478,0.857
448,10_Plate_001.tif,10.515,255.000,16557.865,353.120,16.673,0.475,2681.398,7905,1.943,0.515,0.674
449,10_Plate_001.tif,18.317,255.000,7248.700,354.699,27.098,0.313,4670.822,13770,1.512,0.661,0.671
450,10_Plate_001.tif,222.517,255.000,194.199,428.665,343.027,0.024,56741.842,167280,81.588,0.012,0.429
451,10_Plate_001.tif,10.176,255.000,19570.996,356.746,14.884,0.577,2594.901,7650,1.906,0.525,0.759
452,10_Plate_001.tif,12.551,255.000,4062.168,357.829,14.202,0.782,3200.378,9435,1.405,0.712,0.831
453,10_Plate_001.tif,30.867,255.000,9185.351,369.322,61.501,0.103,7871.201,23205,16.521,0.061,0.510
454,10_Plate_001.tif,27.475,255.000,4052.155,365.485,48.912,0.144,7006.234,20655,3.281,0.305,0.351
