stack,plate,plate_num,depth_mm,class,count,frac,log10_area_mean,log10_area_std,area_mean_um2
Stack_02,3_Plate-0001,3,4.15,2,58362,0.11851620200674601,2.8089186342386134,0.10584078037835605,644.0485906842014
Stack_02,4_Plate-0001,4,6.21,0,32611,0.06543833914922735,1.192572073483669,0.1286231083321619,15.58016574531352
Stack_02,4_Plate-0001,4,6.21,1,16501,0.033111466508276365,1.7236999556727812,0.1816632992924609,52.9297637663548
Stack_02,4_Plate-0001,4,6.21,2,449235,0.9014501943424963,2.4387383602203254,0.15137680120866134,274.6239188725136
Stack_02,5_Plate-0001,5,8.27,0,34436,0.06799661162197865,1.23394757451269,0.1561839882915835,17.1375042110381
Stack_02,5_Plate-0001,5,8.27,1,20093,0.03967522120224233,1.7979779170264447,0.17497785127401125,62.802642416045515
Stack_02,5_Plate-0001,5,8.27,2,451908,0.892328167175779,2.470409181012292,0.15698492391795058,295.3991089855123
Stack_02,6_Plate-0001,6,10.33,0,80773,0.16539033289787827,1.6361087974951731,0.46709022362310193,43.26221960225433
Stack_02,6_Plate-0001,6,10.33,1,347332,0.7111950169745566,2.5045637256621567,0.05619903610593354,319.56832450245275
Stack_02,6_Plate-0001,6,10.33,2,60273,0.12341465012756513,2.851657941693176,0.09128541407477725,710.6535693735
Stack_02,7_Plate-0001,7,12.39,0,56371,0.41038278417611856,1.1506036257456729,0.08498812656768975,14.14502195069985
Stack_02,7_Plate-0001,7,12.39,1,55869,0.4067282072188815,1.515287910134932,0.21691943646071263,32.75577732752769
Stack_02,7_Plate-0001,7,12.39,2,25122,0.18288900860499993,2.3230097291324436,0.2968329530610284,210.38255694657695
Stack_02,8_Plate-0001,8,14.45,0,50770,0.4163079219043402,1.1377723090122203,0.0761618241015826,13.733217840132964
Stack_02,8_Plate-0001,8,14.45,1,46972,0.38516477659426174,1.5114078480339526,0.2254262442197922,32.464434930709245
Stack_02,8_Plate-0001,8,14.45,2,24211,0.19852730150139808,2.3391688348825808,0.28617735496580143,218.35786276464594
Stack_02,9_Plate-0001,9,16.51,0,145351,0.47475037806658543,1.099118565361349,0.04440959346833863,12.563729152700864
Stack_02,9_Plate-0001,9,16.51,1,106983,0.3494315119723807,1.3234169418795518,0.14141653101769477,21.057991297847646
Stack_02,9_Plate-0001,9,16.51,2,53829,0.17581810996103384,1.9001281316339151,0.37678223667792815,79.45626231274687
Stack_02,10_Plate_001,10,18.57,0,12107,0.4851532758966139,1.1252526429692633,0.08598219506179687,13.342974098498715
Stack_02,10_Plate_001,10,18.57,1,11384,0.45618112602684835,1.4784017283245379,0.18712847381425005,30.088582507172713
Stack_02,10_Plate_001,10,18.57,2,1464,0.05866559807653777,1.787522946851232,0.37853774518232,61.30881850820364
Stack_03,Plate_01_p1,1,0.03,0,845557,0.7763265291132663,1.291753157648356,0.07049839365019639,19.577316304907896
Stack_03,Plate_01_p1,1,0.03,1,156937,0.14408769189948006,1.6511323746215432,0.05614523858691524,44.784978970593144
Stack_03,Plate_01_p1,1,0.03,2,86683,0.07958577898725368,1.9192811500153395,0.17725731801130704,83.0388163456644
Stack_03,Plate_02_p1,2,2.09,0,24806,0.02111351985339867,1.3068421499420948,0.1868761922320406,20.269458654089934
Stack_03,Plate_02_p1,2,2.09,1,915279,0.7790357710996887,1.7130908300025312,0.05956001250892793,51.652438585410245
Stack_03,Plate_02_p1,2,2.09,2,234802,0.1998507090469126,2.1092243206459487,0.1721138183758102,128.59507043163268
Stack_03,Plate_03_p1,3,4.15,0,59411,0.059565692102389906,1.435723865901896,0.2526097171331965,27.272431894972037
Stack_03,Plate_03_p1,3,4.15,1,681727,0.6835020548364101,1.8634053872473497,0.062397156424448076,73.01387319653762
Stack_03,Plate_03_p1,3,4.15,2,256265,0.25693225306119993,2.275458197236894,0.23097978042975703,188.56374598165237
Stack_03,Plate_04_p1,4,6.21,0,52245,0.04982504727871986,1.4311171050992715,0.24911391860091817,26.98466961008945
