depth_mm,dedx_MeVmm
3.015000,2482.3767
3.020000,2483.0810
3.025000,2483.7859
3.030000,2484.4916
3.035000,2485.1980
3.040000,2485.9051
3.045000,2486.6130
3.050000,2487.3215
3.055000,2488.0308
3.060000,2488.7408
3.065000,2489.4515
3.070000,2490.1630
3.075000,2490.8752
3.080000,2491.5881
3.085000,2492.3018
3.090000,2493.0161
3.095000,2493.7313
3.100000,2494.4471
3.105000,2495.1637
3.110000,2495.8810
3.115000,2496.5991
3.120000,2497.3179
3.125000,2498.0374
3.130000,2498.7577
3.135000,2499.4788
3.140000,2500.2005
3.145000,2500.9231
3.150000,2501.6463
3.155000,2502.3704
3.160000,2503.0951
3.165000,2503.8206
3.170000,2504.5469
3.175000,2505.2740
3.180000,2506.0017
3.185000,2506.7303
3.190000,2507.4596
3.195000,2508.1897
3.200000,2508.9205
3.205000,2509.6521
3.210000,2510.3844
3.215000,2511.1175
3.220000,2511.8514
3.225000,2512.5861
3.230000,2513.3215
3.235000,2514.0577
3.240000,2514.7947
3.245000,2515.5324
3.250000,2516.2709
3.255000,2517.0102
3.260000,2517.7503
3.265000,2518.4911
3.270000,2519.2328
3.275000,2519.9752
3.280000,2520.7184
3.285000,2521.4624
3.290000,2522.2071
3.295000,2522.9527
3.300000,2523.6990
3.305000,2524.4462
3.310000,2525.1941
3.315000,2525.9428
3.320000,2526.6924
3.325000,2527.4427
3.330000,2528.1938
3.335000,2528.9457
3.340000,2529.6984
3.345000,2530.4519
3.350000,2531.2063
3.355000,2531.9614
3.360000,2532.7173
3.365000,2533.4741
3.370000,2534.2316
3.375000,2534.9900
3.380000,2535.7492
3.385000,2536.5091
3.390000,2537.2700
3.395000,2538.0316
3.400000,2538.7940
3.405000,2539.5573
3.410000,2540.3214
3.415000,2541.0863
3.420000,2541.8520
3.425000,2542.6186
3.430000,2543.3860
3.435000,2544.1542
3.440000,2544.9233
3.445000,2545.6931
3.450000,2546.4639
3.455000,2547.2354
3.460000,2548.0078
3.465000,2548.7810
3.470000,2549.5551
3.475000,2550.3300
3.480000,2551.1058
3.485000,2551.8824
3.490000,2552.6598
3.495000,2553.4381
3.500000,2554.2173
3.505000,2554.9973
3.510000,2555.7781
3.515000,2556.5598
3.520000,2557.3424
3.525000,2558.1258
3.530000,2558.9101
3.535000,2559.6953
3.540000,2560.4813
3.545000,2561.2681
3.550000,2562.0559
3.555000,2562.8445
3.560000,2563.6340
3.565000,2564.4243
3.570000,2565.2155
3.575000,2566.0076
3.580000,2566.8006
3.585000,2567.5945
3.590000,2568.3892
3.595000,2569.1848
3.600000,2569.9813
3.605000,2570.7787
3.610000,2571.5769
3.615000,2572.3761
3.620000,2573.1761
3.625000,2573.9771
3.630000,2574.7789
3.635000,2575.5816
3.640000,2576.3852
3.645000,2577.1897
3.650000,2577.9952
3.655000,2578.8015
3.660000,2579.6087
3.665000,2580.4168
3.670000,2581.2259
3.675000,2582.0358
3.680000,2582.8467
3.685000,2583.6584
3.690000,2584.4711
3.695000,2585.2847
3.700000,2586.0992
3.705000,2586.9146
3.710000,2587.7310
3.715000,2588.5483
3.720000,2589.3665
3.725000,2590.1856
3.730000,2591.0057
3.735000,2591.8266
3.740000,2592.6486
3.745000,2593.4714
3.750000,2594.2952
3.755000,2595.1199
3.760000,2595.9456
3.765000,2596.7722
3.770000,2597.5998
3.775000,2598.4282
3.780000,2599.2577
3.785000,2600.0881
3.790000,2600.9194
3.795000,2601.7517
3.800000,2602.5849
3.805000,2603.4191
3.810000,2604.2543
3.815000,2605.0904
3.820000,2605.9275
3.825000,2606.7656
3.830000,2607.6046
3.835000,2608.4445
3.840000,2609.2855
3.845000,2610.1274
3.850000,2610.9703
3.855000,2611.8142
3.860000,2612.6590
3.865000,2613.5048
3.870000,2614.3516
3.875000,2615.1994
3.880000,2616.0482
3.885000,2616.8980
3.890000,2617.7487
3.895000,2618.6004
3.900000,2619.4532
3.905000,2620.3069
3.910000,2621.1616
3.915000,2622.0173
3.920000,2622.8741
3.925000,2623.7318
3.930000,2624.5905
3.935000,2625.4503
3.940000,2626.3110
3.945000,2627.1728
3.950000,2628.0355
3.955000,2628.8993
3.960000,2629.7641
3.965000,2630.6300
3.970000,2631.4968
3.975000,2632.3647
3.980000,2633.2336
3.985000,2634.1035
3.990000,2634.9744
3.995000,2635.8464
4.000000,2636.7194
4.005000,2637.5935
4.010000,2638.4686
4.015000,2639.3447
4.020000,2640.2219
4.025000,2641.1001
4.030000,2641.9794
4.035000,2642.8597
4.040000,2643.7410
4.045000,2644.6234
4.050000,2645.5069
4.055000,2646.3914
4.060000,2647.2770
4.065000,2648.1637
4.070000,2649.0514
4.075000,2649.9402
4.080000,2650.8300
4.085000,2651.7209
4.090000,2652.6129
4.095000,2653.5060
4.100000,2654.4001
4.105000,2655.2954
4.110000,2656.1917
4.115000,2657.0891
4.120000,2657.9875
4.125000,3329.6939
4.130000,3331.0665
4.135000,3332.4411
4.140000,3333.8178
4.145000,3335.1966
4.150000,3336.5775
4.155000,3337.9604
4.160000,3339.3454
4.165000,3340.7325
4.170000,3342.1216
4.175000,3343.5129
4.180000,3344.9063
4.185000,2672.5360
4.190000,2673.4533
4.195000,2674.3718
4.200000,2675.2914
4.205000,2676.2121
4.210000,2677.1339
4.215000,2678.0569
4.220000,2678.9810
4.225000,2679.9063
4.230000,2680.8327
4.235000,2681.7603
4.240000,2682.6890
4.245000,2683.6189
4.250000,2684.5499
4.255000,2685.4821
4.260000,2686.4154
4.265000,2687.3499
4.270000,2688.2856
4.275000,2689.2224
4.280000,2690.1604
4.285000,2691.0996
4.290000,2692.0399
4.295000,2692.9814
4.300000,2693.9241
4.305000,2694.8680
4.310000,2695.8131
4.315000,2696.7593
4.320000,2697.7068
4.325000,2698.6554
4.330000,2699.6053
4.335000,2700.5563
4.340000,2701.5085
4.345000,2702.4620
4.350000,2703.4166
4.355000,2704.3725
4.360000,2705.3295
4.365000,2706.2878
4.370000,2707.2473
4.375000,2708.2080
4.380000,2709.1699
4.385000,2710.1331
4.390000,2711.0975
4.395000,2712.0631
4.400000,2713.0299
4.405000,2713.9980
4.410000,2714.9673
4.415000,2715.9379
4.420000,2716.9097
4.425000,2717.8828
4.430000,2718.8570
4.435000,2719.8326
4.440000,2720.8094
4.445000,2721.7875
4.450000,2722.7668
4.455000,2723.7474
4.460000,2724.7292
4.465000,2725.7123
4.470000,2726.6967
4.475000,2727.6824
4.480000,2728.6693
4.485000,2729.6575
4.490000,2730.6470
4.495000,2731.6378
4.500000,2732.6299
4.505000,2733.6232
4.510000,2734.6179
4.515000,2735.6138
4.520000,2736.6111
4.525000,2737.6096
4.530000,2738.6095
4.535000,2739.6107
4.540000,2740.6132
4.545000,2741.6169
4.550000,2742.6221
4.555000,2743.6285
4.560000,2744.6362
4.565000,2745.6453
4.570000,2746.6557
4.575000,2747.6675
4.580000,2748.6806
4.585000,2749.6950
4.590000,2750.7107
4.595000,2751.7278
4.600000,2752.7463
4.605000,2753.7661
4.610000,2754.7873
4.615000,2755.8098
4.620000,2756.8336
4.625000,2757.8589
4.630000,2758.8855
4.635000,2759.9134
4.640000,2760.9428
4.645000,2761.9735
4.650000,2763.0056
4.655000,2764.0391
4.660000,2765.0739
4.665000,2766.1102
4.670000,2767.1478
4.675000,2768.1869
4.680000,2769.2273
4.685000,2770.2692
4.690000,2771.3124
4.695000,2772.3570
4.700000,2773.4031
4.705000,2774.4506
4.710000,2775.4995
4.715000,2776.5498
4.720000,2777.6015
4.725000,2778.6547
4.730000,2779.7093
4.735000,2780.7653
4.740000,2781.8228
4.745000,2782.8817
4.750000,2783.9420
4.755000,2785.0038
4.760000,2786.0671
4.765000,2787.1318
4.770000,2788.1980
4.775000,2789.2656
4.780000,2790.3347
4.785000,2791.4052
4.790000,2792.4773
4.795000,2793.5508
4.800000,2794.6258
4.805000,2795.7022
4.810000,2796.7802
4.815000,2797.8596
4.820000,2798.9406
4.825000,2800.0230
4.830000,2801.1069
4.835000,2802.1924
4.840000,2803.2793
4.845000,2804.3678
4.850000,2805.4577
4.855000,2806.5492
4.860000,2807.6422
4.865000,2808.7367
4.870000,2809.8328
4.875000,2810.9304
4.880000,2812.0295
4.885000,2813.1302
4.890000,2814.2324
4.895000,2815.3362
4.900000,2816.4415
4.905000,2817.5484
4.910000,2818.6568
4.915000,2819.7668
4.920000,2820.8783
4.925000,2821.9915
4.930000,2823.1062
4.935000,2824.2224
4.940000,2825.3403
4.945000,2826.4597
4.950000,2827.5808
4.955000,2828.7034
4.960000,2829.8276
4.965000,2830.9534
4.970000,2832.0809
4.975000,2833.2099
4.980000,2834.3406
4.985000,2835.4728
4.990000,2836.6067
4.995000,2837.7422
5.000000,2838.8794
5.005000,2840.0182
5.010000,2841.1586
5.015000,2842.3006
5.020000,2843.4443
5.025000,2844.5897
5.030000,2845.7367
5.035000,2846.8853
5.040000,2848.0356
5.045000,2849.1876
5.050000,2850.3413
5.055000,2851.4966
5.060000,2852.6536
5.065000,2853.8123
5.070000,2854.9727
5.075000,2856.1348
5.080000,2857.2985
5.085000,2858.4640
5.090000,2859.6311
5.095000,2860.8000
5.100000,2861.9706
5.105000,2863.1429
5.110000,2864.3169
5.115000,2865.4927
5.120000,2866.6701
5.125000,2867.8493
5.130000,2869.0303
5.135000,2870.2130
5.140000,2871.3974
5.145000,2872.5836
5.150000,2873.7716
5.155000,2874.9613
5.160000,2876.1527
5.165000,2877.3460
5.170000,2878.5410
5.175000,2879.7378
5.180000,2880.9364
5.185000,2882.1367
5.190000,2883.3389
5.195000,2884.5428
5.200000,2885.7486
5.205000,2886.9561
5.210000,2888.1655
5.215000,2889.3767
5.220000,2890.5897
5.225000,2891.8045
5.230000,2893.0212
5.235000,2894.2397
5.240000,2895.4600
5.245000,2896.6822
5.250000,2897.9062
5.255000,2899.1321
5.260000,2900.3599
5.265000,2901.5895
5.270000,2902.8209
5.275000,2904.0543
5.280000,2905.2895
5.285000,2906.5266
5.290000,2907.7656
5.295000,2909.0065
5.300000,2910.2493
5.305000,2911.4939
5.310000,2912.7405
5.315000,2913.9890
5.320000,2915.2395
5.325000,2916.4918
5.330000,2917.7461
5.335000,2919.0023
5.340000,2920.2604
5.345000,2921.5205
5.350000,2922.7826
5.355000,2924.0465
5.360000,2925.3125
5.365000,2926.5804
5.370000,2927.8503
5.375000,2929.1221
5.380000,2930.3960
5.385000,2931.6718
5.390000,2932.9496
5.395000,2934.2294
